img_name,img_path,name,split_type,NoDamage,Crack,Efflorescence,Spalling,BarsExposed,Rust,CLASSES_STRING,CLASSES_N
image_0000230_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0000230_crop_0000002.png,codebrim-classif,train,0,0,0,1,0,0,S,1
image_0000811_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0000811_crop_0000003.png,codebrim-classif,train,0,0,0,0,0,1,R,1
image_0000601_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0000601_crop_0000002.png,codebrim-classif,train,0,0,1,0,0,0,E,1
image_0001525_crop_0000013.png,codebrim-classif/classification_dataset/train/defects/image_0001525_crop_0000013.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001161_crop_0000009.png,codebrim-classif/classification_dataset/train/defects/image_0001161_crop_0000009.png,codebrim-classif,train,0,0,0,1,1,0,SB,2
image_0000775_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0000775_crop_0000003.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000431_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0000431_crop_0000001.png,codebrim-classif,train,0,0,0,1,1,0,SB,2
image_0001285_crop_0000007.png,codebrim-classif/classification_dataset/train/defects/image_0001285_crop_0000007.png,codebrim-classif,train,0,1,0,1,0,0,CS,2
image_0001530_crop_0000007.png,codebrim-classif/classification_dataset/train/defects/image_0001530_crop_0000007.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000581_crop_0000005.png,codebrim-classif/classification_dataset/train/defects/image_0000581_crop_0000005.png,codebrim-classif,train,0,0,1,0,0,0,E,1
image_0001279_crop_0000005.png,codebrim-classif/classification_dataset/train/defects/image_0001279_crop_0000005.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000296_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0000296_crop_0000002.png,codebrim-classif,train,0,0,0,1,0,0,S,1
image_0000503_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0000503_crop_0000003.png,codebrim-classif,train,0,0,1,0,0,0,E,1
image_0001558_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0001558_crop_0000003.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0000820_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0000820_crop_0000002.png,codebrim-classif,train,0,0,0,1,0,0,S,1
image_0000701_crop_0000005.png,codebrim-classif/classification_dataset/train/defects/image_0000701_crop_0000005.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001063_crop_0000013.png,codebrim-classif/classification_dataset/train/defects/image_0001063_crop_0000013.png,codebrim-classif,train,0,0,0,1,0,0,S,1
image_0001595_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0001595_crop_0000001.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0000644_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0000644_crop_0000001.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001533_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0001533_crop_0000001.png,codebrim-classif,train,0,0,0,1,1,0,SB,2
image_0000726_crop_0000010.png,codebrim-classif/classification_dataset/train/defects/image_0000726_crop_0000010.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001497_crop_0000006.png,codebrim-classif/classification_dataset/train/defects/image_0001497_crop_0000006.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0001161_crop_0000012.png,codebrim-classif/classification_dataset/train/defects/image_0001161_crop_0000012.png,codebrim-classif,train,0,0,0,1,1,0,SB,2
image_0001327_crop_0000010.png,codebrim-classif/classification_dataset/train/defects/image_0001327_crop_0000010.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0001396_crop_0000004.png,codebrim-classif/classification_dataset/train/defects/image_0001396_crop_0000004.png,codebrim-classif,train,0,0,0,0,0,0,,0
image_0001454_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0001454_crop_0000003.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000999_crop_0000012.png,codebrim-classif/classification_dataset/train/defects/image_0000999_crop_0000012.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001566_crop_0000023.png,codebrim-classif/classification_dataset/train/defects/image_0001566_crop_0000023.png,codebrim-classif,train,0,0,0,0,0,0,,0
image_0000558_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0000558_crop_0000001.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0001253_crop_0000008.png,codebrim-classif/classification_dataset/train/defects/image_0001253_crop_0000008.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001233_crop_0000011.png,codebrim-classif/classification_dataset/train/defects/image_0001233_crop_0000011.png,codebrim-classif,train,0,0,1,0,0,0,E,1
image_0000712_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0000712_crop_0000002.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001405_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0001405_crop_0000001.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0001386_crop_0000009.png,codebrim-classif/classification_dataset/train/defects/image_0001386_crop_0000009.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0000639_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0000639_crop_0000002.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000726_crop_0000004.png,codebrim-classif/classification_dataset/train/defects/image_0000726_crop_0000004.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001448_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0001448_crop_0000001.png,codebrim-classif,train,0,0,0,1,1,0,SB,2
image_0000518_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0000518_crop_0000001.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0001249_crop_0000008.png,codebrim-classif/classification_dataset/train/defects/image_0001249_crop_0000008.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001386_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0001386_crop_0000003.png,codebrim-classif,train,0,0,0,1,0,1,SR,2
image_0000456_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0000456_crop_0000002.png,codebrim-classif,train,0,1,1,0,0,1,CER,3
image_0001153_crop_0000008.png,codebrim-classif/classification_dataset/train/defects/image_0001153_crop_0000008.png,codebrim-classif,train,0,0,0,0,0,0,,0
image_0001299_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0001299_crop_0000001.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0001439_crop_0000005.png,codebrim-classif/classification_dataset/train/defects/image_0001439_crop_0000005.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0000999_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0000999_crop_0000001.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001379_crop_0000005.png,codebrim-classif/classification_dataset/train/defects/image_0001379_crop_0000005.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000284_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0000284_crop_0000001.png,codebrim-classif,train,0,0,0,0,0,1,R,1
image_0000692_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0000692_crop_0000001.png,codebrim-classif,train,0,1,1,0,0,0,CE,2
image_0000535_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0000535_crop_0000003.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001372_crop_0000004.png,codebrim-classif/classification_dataset/train/defects/image_0001372_crop_0000004.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001485_crop_0000004.png,codebrim-classif/classification_dataset/train/defects/image_0001485_crop_0000004.png,codebrim-classif,train,0,0,0,1,0,0,S,1
image_0001546_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0001546_crop_0000003.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001438_crop_0000004.png,codebrim-classif/classification_dataset/train/defects/image_0001438_crop_0000004.png,codebrim-classif,train,0,0,1,0,0,0,E,1
image_0001589_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0001589_crop_0000003.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000643_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0000643_crop_0000003.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000779_crop_0000006.png,codebrim-classif/classification_dataset/train/defects/image_0000779_crop_0000006.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0001089_crop_0000004.png,codebrim-classif/classification_dataset/train/defects/image_0001089_crop_0000004.png,codebrim-classif,train,0,0,0,1,1,0,SB,2
image_0000284_crop_0000009.png,codebrim-classif/classification_dataset/train/defects/image_0000284_crop_0000009.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0001433_crop_0000013.png,codebrim-classif/classification_dataset/train/defects/image_0001433_crop_0000013.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000536_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0000536_crop_0000001.png,codebrim-classif,train,0,0,0,0,0,1,R,1
image_0001292_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0001292_crop_0000002.png,codebrim-classif,train,0,0,0,1,1,1,SBR,3
image_0001241_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0001241_crop_0000002.png,codebrim-classif,train,0,1,1,0,0,0,CE,2
image_0000150_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0000150_crop_0000002.png,codebrim-classif,train,0,0,0,1,0,0,S,1
image_0000582_crop_0000005.png,codebrim-classif/classification_dataset/train/defects/image_0000582_crop_0000005.png,codebrim-classif,train,0,1,1,0,0,0,CE,2
image_0000417_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0000417_crop_0000003.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000466_crop_0000003.png,codebrim-classif/classification_dataset/train/defects/image_0000466_crop_0000003.png,codebrim-classif,train,0,0,0,0,1,1,BR,2
image_0000748_crop_0000001.png,codebrim-classif/classification_dataset/train/defects/image_0000748_crop_0000001.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001425_crop_0000006.png,codebrim-classif/classification_dataset/train/defects/image_0001425_crop_0000006.png,codebrim-classif,train,0,0,0,1,1,0,SB,2
image_0001186_crop_0000012.png,codebrim-classif/classification_dataset/train/defects/image_0001186_crop_0000012.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001214_crop_0000006.png,codebrim-classif/classification_dataset/train/defects/image_0001214_crop_0000006.png,codebrim-classif,train,0,0,1,0,0,0,E,1
image_0000533_crop_0000004.png,codebrim-classif/classification_dataset/train/defects/image_0000533_crop_0000004.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0001581_crop_0000014.png,codebrim-classif/classification_dataset/train/defects/image_0001581_crop_0000014.png,codebrim-classif,train,0,0,1,0,0,0,E,1
image_0000651_crop_0000007.png,codebrim-classif/classification_dataset/train/defects/image_0000651_crop_0000007.png,codebrim-classif,train,0,1,0,0,0,0,C,1
image_0000634_crop_0000005.png,codebrim-classif/classification_dataset/train/defects/image_0000634_crop_0000005.png,codebrim-classif,train,0,1,0,0,0,1,CR,2
image_0001096_crop_0000008.png,codebrim-classif/classification_dataset/train/defects/image_0001096_crop_0000008.png,codebrim-classif,train,0,0,0,1,0,1,SR,2
image_0001542_crop_0000002.png,codebrim-classif/classification_dataset/train/defects/image_0001542_crop_0000002.png,codebrim-classif,train,0,0,0,0,0,1,R,1
