img_name,img_path,Cracks,Efflorescence,ExposedReinforcement,General,NoDefect,RustStaining,Scaling,Spalling,CLASSES,isStatusChanged,split_bikit
001_0fwtaowy.t1o.jpg,mcds/Corrosion/no rust staining/001_0fwtaowy.t1o.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cracks,False,valid
001_1tionnxn.hgr.jpg,mcds/MultiClassifier/cracks/001_1tionnxn.hgr.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cracks,False,valid
001_avlr5wdk.yoi.jpg,mcds/MultiClassifier/cracks/001_avlr5wdk.yoi.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cracks,False,valid
001_cdl1dg2t.4w0.jpg,mcds/MultiClassifier/cracks/001_cdl1dg2t.4w0.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cracks,False,valid
001_cjkzk4kq.1qe.jpg,mcds/ExposedReinforcement/no exposed reinforcement/001_cjkzk4kq.1qe.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Spalling,True,valid
001_kwmsqgk2.yfv.jpg,mcds/Corrosion/no rust staining/001_kwmsqgk2.yfv.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cracks,False,valid
001_ozy10gqk.ovm.jpg,mcds/MultiClassifier/efflorescence/001_ozy10gqk.ovm.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,True,valid
001_qpj4eca0.5hi.jpg,mcds/MultiClassifier/general/001_qpj4eca0.5hi.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,General,True,valid
001_qympggxw.1k1.jpg,mcds/ExposedReinforcement/no exposed reinforcement/001_qympggxw.1k1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Spalling,False,valid
001_s5g23evx.mzu.jpg,mcds/MultiClassifier/cracks/001_s5g23evx.mzu.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cracks,False,valid
001_vyrfz3xx.y4z.jpg,mcds/MultiClassifier/cracks/001_vyrfz3xx.y4z.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cracks,False,valid
001_w1nojjln.bdv.jpg,mcds/Corrosion/rust staining/001_w1nojjln.bdv.jpg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Spalling_ExposedReinforcement_RustStaining,True,valid
001_wfgr4wt0.ge1.jpg,mcds/MultiClassifier/efflorescence/001_wfgr4wt0.ge1.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_0zscwu3n.2rs.jpg,mcds/MultiClassifier/efflorescence/002_0zscwu3n.2rs.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_2bvturws.zss.jpg,mcds/Corrosion/no rust staining/002_2bvturws.zss.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_4wvkm1pa.hxh.jpg,mcds/MultiClassifier/efflorescence/002_4wvkm1pa.hxh.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_cql5orz2.p0y.jpg,mcds/Corrosion/rust staining/002_cql5orz2.p0y.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RustStaining,True,valid
002_dr3selb3.a1h.jpg,mcds/Corrosion/no rust staining/002_dr3selb3.a1h.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_ef5csbwj.r10.jpg,mcds/MultiClassifier/cracks/002_ef5csbwj.r10.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cracks,False,valid
002_ei2bcpzc.bnl.jpg,mcds/MultiClassifier/efflorescence/002_ei2bcpzc.bnl.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_lqbbu0hz.3p4.jpg,mcds/MultiClassifier/efflorescence/002_lqbbu0hz.3p4.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_mjcgc4b1.ru0.jpg,mcds/Corrosion/no rust staining/002_mjcgc4b1.ru0.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Spalling_ExposedReinforcement,True,valid
002_ocpp5ini.zep.jpg,mcds/Corrosion/no rust staining/002_ocpp5ini.zep.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_paed3ogk.1ws.jpg,mcds/MultiClassifier/efflorescence/002_paed3ogk.1ws.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_pe0dg2jz.yek.jpg,mcds/MultiClassifier/efflorescence/002_pe0dg2jz.yek.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Efflorescence,False,valid
002_q40jac40.sd4.jpg,mcds/Corrosion/rust staining/002_q40jac40.sd4.jpg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Spalling_ExposedReinforcement_RustStaining,False,valid
002_v3h0t5sm.lqi.jpg,mcds/MultiClassifier/cracks/002_v3h0t5sm.lqi.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cracks,False,valid
