img_name,img_path,Crack,NoCrack,split_type
1.jpg,bcd/images/1.jpg,0,1,train
2.jpg,bcd/images/2.jpg,0,1,train
3.jpg,bcd/images/3.jpg,0,1,train
4.jpg,bcd/images/4.jpg,0,1,train
5.jpg,bcd/images/5.jpg,0,1,train
6.jpg,bcd/images/6.jpg,0,1,train
7.jpg,bcd/images/7.jpg,0,1,train
8.jpg,bcd/images/8.jpg,0,1,train
9.jpg,bcd/images/9.jpg,0,1,train
10.jpg,bcd/images/10.jpg,0,1,val
11.jpg,bcd/images/11.jpg,0,1,train
12.jpg,bcd/images/12.jpg,0,1,train
13.jpg,bcd/images/13.jpg,0,1,train
14.jpg,bcd/images/14.jpg,0,1,train
15.jpg,bcd/images/15.jpg,0,1,train
16.jpg,bcd/images/16.jpg,0,1,train
17.jpg,bcd/images/17.jpg,0,1,test
18.jpg,bcd/images/18.jpg,0,1,train
19.jpg,bcd/images/19.jpg,0,1,val
20.jpg,bcd/images/20.jpg,0,1,train
21.jpg,bcd/images/21.jpg,0,1,train
22.jpg,bcd/images/22.jpg,0,1,train
23.jpg,bcd/images/23.jpg,0,1,train
24.jpg,bcd/images/24.jpg,0,1,train
25.jpg,bcd/images/25.jpg,0,1,train
26.jpg,bcd/images/26.jpg,0,1,train
27.jpg,bcd/images/27.jpg,0,1,train
28.jpg,bcd/images/28.jpg,0,1,train
29.jpg,bcd/images/29.jpg,0,1,val
30.jpg,bcd/images/30.jpg,0,1,train
31.jpg,bcd/images/31.jpg,0,1,train
32.jpg,bcd/images/32.jpg,0,1,train
33.jpg,bcd/images/33.jpg,0,1,train
34.jpg,bcd/images/34.jpg,0,1,train
35.jpg,bcd/images/35.jpg,0,1,train
36.jpg,bcd/images/36.jpg,0,1,train
37.jpg,bcd/images/37.jpg,0,1,val
38.jpg,bcd/images/38.jpg,0,1,train
39.jpg,bcd/images/39.jpg,0,1,train
40.jpg,bcd/images/40.jpg,0,1,train
41.jpg,bcd/images/41.jpg,0,1,train
42.jpg,bcd/images/42.jpg,0,1,test
43.jpg,bcd/images/43.jpg,0,1,train
44.jpg,bcd/images/44.jpg,0,1,train
45.jpg,bcd/images/45.jpg,0,1,train
46.jpg,bcd/images/46.jpg,0,1,train
47.jpg,bcd/images/47.jpg,0,1,train
48.jpg,bcd/images/48.jpg,0,1,train
49.jpg,bcd/images/49.jpg,0,1,train
50.jpg,bcd/images/50.jpg,0,1,train
51.jpg,bcd/images/51.jpg,0,1,train
52.jpg,bcd/images/52.jpg,0,1,train
53.jpg,bcd/images/53.jpg,0,1,train
54.jpg,bcd/images/54.jpg,0,1,train
55.jpg,bcd/images/55.jpg,0,1,test
